Channel Name,date,videoId,titles,Comment
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,어째서 내이름과 베프이름이....ㅋㅋㅋㅋㅋ 아영이한테 보내줬더니 자기도 받았다며ㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,개인적으로 현 시점 너덜트 최고작
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역대급이네
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,먹이사슬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,팔로우 받아라 ㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,스피커 폰 키면될걸 ㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,부전녀전
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,"와 바둑판도 이세돌 알파고전 신의한수네ㅋㅋㅋㅋㅋ디테일, 개연성 미쳤다.."
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,"딸은 인스타하고 아빠는 밴드하는거
왜이리 깨알같냐 ㅋㅋ ㅋ"
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,뒤로가면서 반전나오고 같은 대사 주고받는게 킬포인트
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,부녀지간에 신뢰가 아주 두터워
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,마치 진실을 감춤으로서 평화가 유지되는 JSA 공동경비구역 영화가 생각나네요
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,하하하 엄청웃었네요 ㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,이거 재밌어서 계속봤는데 대사 대워움ㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,3:45 공수교대
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅅ........ㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅈㄴ 웃었네
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,노잼
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,아 겁나 웃었네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,1:50 이거 진짜 레전드 드립ㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,와 ㅋㅋㅋ 진짜 대박 잘만들었다ㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,엌ㅋㅋ 극적타협
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,진짜 볼때마다 티키타카가 물흐르듯이 나오는게 진짜 ㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,"이세돌 알파고 기보였네ㅋㅋ ""그래서 내가 부계라는 걸 파봤다"" 라는 대사 치면서 바로 다음 장면이 이세돌의 '신의 한 수'로 불리는 78수를 두시네요ㅋㅋㅋㅋ 의표를 찌른 것을 이렇게 표현하다니 연출 지리십니다."
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,이걸 이제 보다니.. 미쳤.. 와.. 대박.. ㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,그 와중에 아버지가 두고 있는 바둑이 이세돌 알파고 4국이네ㅋㅋㅋㅋ2:59 부계 팔로우 받으라는 이야기 할 때 소위 신의 한수로 일컬어지는 78수 두는 디테일ㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,아...난 낚싯대 어디에 숨기지???큰일이네
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,야채 처자 보통분이 아니네
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,정맡 편의점 이후 예술적으로도 길이남을 역작이라 본다. 선덴스영화제에 출품해야 함.
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,3:00 이세돌 알파고전 신의 한수
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,29면 좀 봐주세요 아버님~~
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,아빠 연기 좋네. 아카데미 남우 주연상 가자.
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,와우...아버지가 말빨이쎄셬ㅋㅋㅋ마지맏에 아영이도 와 대박이다 이전편 재밌음
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,부녀가 전생에 서로 암행어사였나봨ㅋㅋㅋㅋㅋ서로 왤캐 정보력이 지려
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,앜ㅋㅋㅋㅋㅋ 존낭 ㅅ겨 ㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ와우
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,최선의 방어는 공격이군요
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,존나재밌네.
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,낚시대의 역습이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,암걸리겟넼ㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,"아직 어리지만 딸도 키우는 아빠의 입장인데 저런 아빠 되지 말아야지 싶네요, 진짜 혐오스러울 정도... 저정도면 부녀 관계 유지하기 힘들텐데..."
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,재밌긴한데 딸바보아빠 설정이 좀 과한듯 29살에 어떤 부모가 남친이랑 여행가는걸 뭐라할까 결혼적령기 나이인데 20살 초중반이였으면 괜찮았을듯
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,숨막히는 공방전
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅋㅋㅋㅋ진짜 존나웃기네ㅠ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,"미쳤다ㅋㅋㅋ
무슨 티키타카 보는것같네ㅋㅋ
입담으로는 부녀지간이 바르셀로나급이네ㅋㅋ"
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅋㅋㅋ 대박 처음봤는데..
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,썸네일 조이인줄
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,이편 개웃기네 ㅋㅋㅋㅋㅋㅋ 연기 진짜 찰떡 ㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅋㅋㅋㅋㅋㅋㅋㅋ와딘짜존잼
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,어후 ㅋㅋㅋㅋ안끝나안씉낰ㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,여자친구 짱이다👍👍👍👍👍
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,29살 ㅠㅠ 진짜 ㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,아 미치겠넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,짱임
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,낚시대.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,최종실세는 어머니셨어 ㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,"딸아이가 가출하는 이유,"
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,아닠ㅋㅋ 더보기란에 야채역 뭐옄ㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,아영님 짧대 잘보고있어요 ㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,"공방 살발하네,,"
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,스물아홉인데 ㅋㅋㅋㅋ 와우
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,와! 영아!
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,21살도 아니고 29살인데 남친이랑 여행간다는데 화낼 아버지가 어딨어ㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,아영세상화이팅
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,팔로우 받아랔 ㅋ ㅋ ㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,왜이렇게 웃겨
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,진짜 레전드다
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,야채 저분 혹시 뷰티 인사이드 강사라 비서 역으로 나오신 분인가 닮으셨네
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,너덜트 보는데 너덜트광고가 나오네 심지어 재미도있어
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,광고로 너덜트가 나오고 영상으로 너덜트를 보는 기분은 신기하네요 유튜브 프리미엄 때문에 광고 볼일이 없어서 오늘 딱 구독풀린 첫째날에 첫 광고를 너덜트 광고 ㄷ ㄷ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,엄마가 킹왕짱!
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,구독하고 가야겠다.
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,미쳐진짜 ㅋㅋㅋㅋㅋ수정씨 진정해여 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,1000만 가나??
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,자녀를 엄하게 키우면 자녀는 그냥 훌륭한 구라쟁이로 성장합니다... 모든 상황에 대처할만한 계획을 세우고 딴짓을 합니다
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,아니 이렇게 재능 넘치는 분들을 유튜브에서만 볼 수 있다늬 ㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,대박! 너무 웃겨 ㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,수정이 역할 하신 배우분 뷰티인사이드 4화에 이다희비서역할로 나오셨어요!!
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,"I just saw a clip by comic Mart duo and then yours
You are on another level 😂"
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,"아버님이 속초사람이니?
내가 속초사람이잔니"
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅎㅎㅎㅎㅎㅎㅎ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,"와이프랑 연애하던 시절 동해바다 가서 저녁에 공중전화박스 줄 서서 있는데 바로 앞 여자분이 부탁을 해서
제가 해줘~  당시 여친이 그분의 어머님과 통화를 해 줬죠.
그때 여자분도 이름이 수정????"
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,명작이다. 명작
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,THIS IS SO FUNNY!!
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,3:00 뭔가 했더니 AlphaGo vs 이세돌 바둑이었네 ㅋㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 이거뭐얔ㅋㅋ웃곀ㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,이거 자주 보러옴ㅋㅋㅋ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,짧대 아영님이라는 언급이 없넹 ㅠㅠ
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,L과 라이토의 두뇌싸움을 본것같은 웅장함이다
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,소파에 퐁고 인형 있네 ㅠㅠㅠㅠ 달마시안 퐁고♡
너덜트,2022423,JPaubSOSxeM,오늘 수정이네 집에서 자고 가려고,😃
